"path","file_name","extension","folder","domain","kind","size_bytes","status","priority","title","sha256"
".gitignore",".gitignore","",".","Other","other","155","active","P3","APIs externas montadas para Docker. Cada una tiene su propio repositorio Git.","0fb06e386a04afff7f5a61b214f910ef110da7dd519535b773b768624b003c91"
"00_audit/00_full_repository_map.md","00_full_repository_map.md",".md","00_audit","Audit","markdown","2811","active","P3","Mapa documental","537e8ff0ba37b7db26e9ebdf29abeecc081754fe9c9d4b253b1f9597d8a6aa62"
"00_audit/00_inventory.md","00_inventory.md",".md","00_audit","Audit","markdown","1783","active","P3","Inventario documental","21c6da5436faece7286da2d08404382d3e48085bfd4c357fdf0f3bcd3a0053ea"
"00_audit/01_consistency_matrix.md","01_consistency_matrix.md",".md","00_audit","Audit","markdown","2283","active","P3","Matriz de consistencia documental","7f716fe5cf97bc0eceab57e70cb80926dcc1cc6b21d4c7a453fc3d7fb180b9c4"
"00_audit/02_missing_documents.md","02_missing_documents.md",".md","00_audit","Audit","markdown","4478","active","P3","Documentos faltantes detectados","dee83d0dd850616f8e2bcd3f35fa1c7748ce2c9de34dc090829f52eed3420797"
"00_audit/03_inconsistencies.md","03_inconsistencies.md",".md","00_audit","Audit","markdown","2012","active","P3","Inconsistencias","259f4196e8e4a5d9938638c9326d5d326ab2524e7be0f4c8c21b9af769f5ee06"
"00_audit/04_document_status.md","04_document_status.md",".md","00_audit","Audit","markdown","1731","active","P3","Estado documental","1144899bd84c40e90fe5fc9cf1291d625b9b3deae2f2c61c7256ea835ab248c6"
"00_audit/05_global_dictionary.md","05_global_dictionary.md",".md","00_audit","Audit","markdown","2792","active","P3","Diccionario global","c77e46460091ee1ade7d9a07b887ca8fc33d2519e21a569128f4224578bddcc5"
"00_audit/07_recommended_documentation_strategy.md","07_recommended_documentation_strategy.md",".md","00_audit","Audit","markdown","1856","archive_reference","P3","Estrategia recomendada de documentacion","caa3ca5c8d816a074044c3ac9e0fcfd854ead5b4fd0d5bc326ca72355726012f"
"00_audit/08_new_architecture_review.md","08_new_architecture_review.md",".md","00_audit","Audit","markdown","4869","active","P3","Revision nueva arquitectura Tecno Telec + JobCron","b112d869124ed3cf39c6000faebaada52121841d70dbb997028e62d794d95dea"
"00_audit/09_api_routes_inventory.md","09_api_routes_inventory.md",".md","00_audit","Audit","markdown","4301","active","P3","Inventario actual de rutas API","64ce74f01883de659b7f4ed159bd6464fc99dec54a564bd7dabc923fc3a537bf"
"00_audit/99_final_review.md","99_final_review.md",".md","00_audit","Audit","markdown","3329","archive_reference","P3","Revision final documental","7e97207097796e249e0e7a901e6e764b0cf2e3cb142d8bd7c45d1c561ac7015b"
"01_core_erp/apis/00_api_index.md","00_api_index.md",".md","01_core_erp/apis","Core","markdown","1811","active","P1","Indice de APIs","e26f1dfc9269cb8e1dc6289c477773d3f5497df864c376cde044e547c63510a6"
"01_core_erp/apis/01_auth_api.md","01_auth_api.md",".md","01_core_erp/apis","Core","markdown","12362","active","P1","Auth API","bee64be670801bc6b75e801cc86e0be6d25c9d7c52da1298bdbb22a83f46c603"
"01_core_erp/apis/02_catalog_api.md","02_catalog_api.md",".md","01_core_erp/apis","Core","markdown","364","active","P1","Catalog API","fbe8d4dd36a38f8c674f0b0e914a9ed2a56f56e18aa32fbb6a7d3185aa120774"
"01_core_erp/apis/03_supplier_api.md","03_supplier_api.md",".md","01_core_erp/apis","Core","markdown","460","active","P1","Supplier API","d47dc90fa2c613d8c134634b26e5bbcc205de0df7b6051c7cf81c89d973a46a6"
"01_core_erp/apis/04_pricing_api.md","04_pricing_api.md",".md","01_core_erp/apis","Core","markdown","2447","active","P1","Pricing API","488614822f4fc2db052bce88c154a55da95fbe4051822dca119703842952576f"
